module,risk_score
apache/hadoop-mapreduce,0.5120992750156644
apache/hive,0.47914830820599386
apache/hadoop-hdfs,0.4777567314163343
apache/zookeeper,0.3866282275754302
apache/kafka,0.3665361990735284
apache/hbase,0.36099376640069214
apache/spark,0.3388164360398423
apache/zeppelin,0.3154700204625287
apache/cassandra,0.3153089977524598
apache/flink,0.2660779414745421
apache/hadoop,0.2168643193144702
apache/ignite,0.19932409507940413
apache/groovy,0.19137341071951378
apache/activemq,0.18517656094878193
apache/camel,0.184711443305124
